id,review,sentiment,topic
1,"From my team’s perspective, Salary is below market expectations.",Negative,Salary
2,"In my experience, Modern technology stack and useful tools.",Positive,Technology
3,"In my experience, Legacy systems make daily work harder.",Negative,Technology
4,"Overall, Salary is below market expectations.",Negative,Salary
5,"Overall, Strong learning opportunities and skill growth.",Positive,Growth
6,"In some cases, Legacy systems make daily work harder.",Negative,Technology
7,"From my team’s perspective, Clear opportunities to learn and advance.",Positive,Growth
8,"For the most part, Salary is average for the industry.",Neutral,Salary
9,"From my team’s perspective, Management communication is weak.",Negative,Management
10,"In my experience, Management is approachable and supportive.",Positive,Management
11,"Compared with peers, Great work culture with supportive teammates.",Positive,Culture
12,"From my team’s perspective, Learning is available, but mostly self-driven.",Neutral,Growth
13,"In my experience, Work-life balance is fine most weeks.",Neutral,Culture
14,"In my experience, Compensation is acceptable for the role.",Neutral,Salary
15,"Compared with peers, Promotion paths are not well defined.",Negative,Growth
16,"Overall, Work culture feels stressful and inconsistent.",Negative,Culture
17,"In my experience, Perks are minimal compared to other companies.",Negative,Perks
18,"In some cases, Work culture varies by team.",Neutral,Culture
19,"For the most part, Management is approachable and supportive.",Positive,Management
20,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
21,"For the most part, Work culture varies by team.",Neutral,Culture
22,"For the most part, Career growth is limited and unclear.",Negative,Growth
23,"At times, Perks are minimal compared to other companies.",Negative,Perks
24,"At times, Salary is below market expectations.",Negative,Salary
25,"In some cases, Management style differs across departments.",Neutral,Management
26,"Compared with peers, Strong learning opportunities and skill growth.",Positive,Growth
27,"In some cases, Excellent collaboration across teams.",Positive,Culture
28,"For the most part, Work-life balance is fine most weeks.",Neutral,Culture
29,"From my team’s perspective, Strong learning opportunities and skill growth.",Positive,Growth
30,"In some cases, Compensation is acceptable for the role.",Neutral,Salary
31,"Generally speaking, Modern technology stack and useful tools.",Positive,Technology
32,"In my experience, Salary is competitive and fair.",Positive,Salary
33,"In some cases, Modern technology stack and useful tools.",Positive,Technology
34,"In some cases, Raises are small and infrequent.",Negative,Salary
35,"From my team’s perspective, Team morale is low in some departments.",Negative,Culture
36,"In my experience, Salary is average for the industry.",Neutral,Salary
37,"From my team’s perspective, Legacy systems make daily work harder.",Negative,Technology
38,"In my experience, Management style differs across departments.",Neutral,Management
39,"Generally speaking, Modern technology stack and useful tools.",Positive,Technology
