ticket_id,summary,description,priority,assigned_queue
INC11502,Help needed - Database replication lag is increasing,Stored procedure sp_calculate_commission is returning negative values for some sales reps. Logic seems incorrect after the last update.,Medium,Database Team
INC12587,URGENT: Error 500 on checkout page,Checkout page returning HTTP 500 when users apply discount codes. Started after the v2.3.1 hotfix deployment yesterday.,High,Application Team
INC12654,Batch job stuck in running state - please help,Nightly batch job for invoice generation has been in running state for 12 hours. Normally completes in 2 hours. No errors in logs.,High,Application Team
INC11056,Issue: Need database user created for new application - please help,Data migration from Oracle to PostgreSQL failing at row 2.3 million due to character encoding mismatch in customer_notes column.,High,Database Team
INC10706,Request: VPN connection dropping frequently - affecting multiple users,Getting disconnected from VPN every 10 minutes. Using Cisco AnyConnect client version 4.9. Error message: connection attempt has failed.,Critical,Network Team
INC10107,Request: Unable to connect to VPN,Cannot establish VPN tunnel from home network. Getting error TLS handshake failure. Tried restarting the client multiple times.,Medium,Network Team
INC10590,URGENT: WiFi not working in conference room,Firewall rule is blocking outbound traffic on port 8443 which is needed for the new monitoring tool deployment.,Medium,Network Team
INC12469,URGENT: Memory leak in payment microservice,Payment microservice heap usage growing steadily and reaching OOM after 6 hours. Thread dump shows connection objects not being released.,Medium,Application Team
INC12414,Batch job stuck in running state,Nightly batch job for invoice generation has been in running state for 12 hours. Normally completes in 2 hours. No errors in logs.,Medium,Application Team
INC11601,Request: Database connection timeout on production - high priority,Production application getting JDBC connection timeout after 30 seconds. Connection pool exhausted. Database server shows high number of active sessions.,High,Database Team
INC12465,Application logs filling up disk space - high priority,Application logs are not being rotated. Log directory has grown to 200 GB. Need to configure logback rolling policy.,Medium,Application Team
INC10229,Request: Slow internet speed on floor 3,Wifi SSID CorpNet is not visible in building B conference rooms. Other SSIDs are available.,Low,Network Team
INC10916,VPN connection dropping frequently - high priority,Getting disconnected from VPN every 10 minutes. Using Cisco AnyConnect client version 4.9. Error message: connection attempt has failed.,Critical,Network Team
INC10795,Proxy server authentication failing,Network monitoring tool showing high bandwidth usage from unknown source IP on the production subnet.,High,Network Team
INC13022,Scheduled server patching this weekend,"Monthly security patching scheduled for Saturday 2 AM. Total 45 servers across dev, staging, and production environments.",Medium,Infrastructure Team
INC13544,Request: SSL certificate expiring in 3 days,Wildcard SSL certificate for *.company.com expires on Friday. Need to renew and deploy to all 12 web servers and load balancers.,Medium,Infrastructure Team
INC11074,Help needed - Database CPU usage at 98 percent,Audit log table has grown to 500 GB. Need to archive records older than 90 days and implement partition pruning.,Low,Database Team
INC13352,URGENT: Scheduled server patching this weekend,"Monthly security patching scheduled for Saturday 2 AM. Total 45 servers across dev, staging, and production environments.",Medium,Infrastructure Team
INC11745,MongoDB collection queries extremely slow - affecting multiple users,Need a read-only database user created for the new reporting dashboard. Should have SELECT access to sales and inventory schemas.,High,Database Team
INC11085,Issue: MongoDB collection queries extremely slow,Need a read-only database user created for the new reporting dashboard. Should have SELECT access to sales and inventory schemas.,Medium,Database Team
INC10927,Cannot reach servers on subnet 10.0.2.x,Network team needs to configure VLAN tagging for the new development environment setup.,Medium,Network Team
INC13050,Kubernetes pod in CrashLoopBackOff,Kubernetes pod for the inventory-service is in CrashLoopBackOff. Container logs show missing config map reference.,Medium,Infrastructure Team
INC11118,URGENT: Index rebuild needed on customer table - affecting multiple users,Database server CPU is pegged at 98 percent. Top query analysis shows a full table scan on the transactions table running every 5 seconds.,Low,Database Team
INC10643,Issue: Port blocked for new application deployment,Internet speed test showing 5 Mbps on a 100 Mbps connection. Only affecting wired connections.,Medium,Network Team
INC14768,Help needed - Password reset not working for AD account,User unable to reset AD password through self-service portal. Getting error account is locked. Manual unlock by admin also not persisting.,High,Security Team
INC10502,Help needed - Firewall blocking application access,High latency observed when connecting to AWS us-east-1 region. Traceroute shows packet loss at the ISP hop.,Critical,Network Team
INC14067,Issue: Need firewall rule for new vendor access - please help,New vendor TechPartner Inc needs site-to-site VPN access to our staging environment. Access request form and security review completed.,Critical,Security Team
INC10334,URGENT: Slow internet speed on floor 3 - please help,Wifi SSID CorpNet is not visible in building B conference rooms. Other SSIDs are available.,Medium,Network Team
INC14685,Data encryption requirement for new project,New healthcare project requires AES-256 encryption for data at rest and TLS 1.3 for data in transit. Need security architecture review.,Low,Security Team
INC10487,Request: Firewall blocking application access - affecting multiple users,High latency observed when connecting to AWS us-east-1 region. Traceroute shows packet loss at the ISP hop.,Critical,Network Team
INC11963,URGENT: Database backup job failed last night - affecting multiple users,Nightly full backup of PROD_DB01 failed with error ORA-19502 write error on backup piece. Disk space on backup mount is sufficient.,Low,Database Team
INC10394,Issue: Slow internet speed on floor 3 - please help,Wifi SSID CorpNet is not visible in building B conference rooms. Other SSIDs are available.,Critical,Network Team
INC14843,Password reset not working for AD account,User unable to reset AD password through self-service portal. Getting error account is locked. Manual unlock by admin also not persisting.,Critical,Security Team
INC14867,Unauthorized access attempt on admin portal,Admin portal logs show successful login from an IP in a foreign country for a user who is on-site. Possible credential compromise.,Medium,Security Team
INC11756,URGENT: Need new database schema for project X,Replication lag between primary and secondary MySQL instances has grown to 4 hours. Binary log position shows significant gap.,High,Database Team
INC12516,Mobile app showing blank screen on launch,Mobile app on iOS 17 shows white screen after splash screen. Android version works fine. Crash report shows WebView initialization error.,High,Application Team
INC13586,Help needed - Production server disk space critical,Production web server APP-WEB-01 has only 2 GB free on root partition. Application logs and temp files consuming most space.,High,Infrastructure Team
INC14316,URGENT: Suspicious login attempts detected,Multiple failed login attempts from IP 185.220.101.xx detected on the admin portal. 500 attempts in last 1 hour. Appears to be brute force attack.,Medium,Security Team
INC14967,URGENT: Need firewall rule for new vendor access,New vendor TechPartner Inc needs site-to-site VPN access to our staging environment. Access request form and security review completed.,Critical,Security Team
INC12100,Request: Application not sending email notifications - please help,Email notifications for order confirmations stopped going out since Monday. SMTP connection logs show authentication failure.,High,Application Team
INC13600,Linux server kernel panic after update - affecting multiple users,Linux server crashed with kernel panic after applying the latest kernel update. Need to boot from previous kernel version.,High,Infrastructure Team
INC14122,Issue: Need access to production database,Developer needs read access to production CUSTOMER_DB for debugging a data issue. Manager approval attached. Need temporary 24-hour access.,Medium,Security Team
INC10030,Proxy server authentication failing,Network monitoring tool showing high bandwidth usage from unknown source IP on the production subnet.,Medium,Network Team
INC10066,Request: Cannot access internal network remotely,DNS queries for internal domains are returning NXDOMAIN. External DNS works fine. Issue started after the DNS migration.,Critical,Network Team
INC10839,Load balancer not distributing traffic - affecting multiple users,Cannot access partner VPN site-to-site tunnel. Was working until the firewall firmware update yesterday.,Low,Network Team
INC13907,Help needed - Scheduled server patching this weekend - please help,"Monthly security patching scheduled for Saturday 2 AM. Total 45 servers across dev, staging, and production environments.",Medium,Infrastructure Team
INC13774,URGENT: Cloud storage bucket access denied - affecting multiple users,S3 bucket access denied when application tries to upload reports. IAM role policy looks correct. Suspect bucket policy override.,Medium,Infrastructure Team
INC14636,Request: Two factor authentication not working - please help,Users reporting that the Duo 2FA push notifications are not being received on mobile devices. Duo admin console shows pushes are being sent.,Medium,Security Team
INC13162,Issue: Backup storage SAN showing disk errors - please help,SAN storage array showing predictive disk failure alerts on 3 drives in RAID group for backup volume.,Medium,Infrastructure Team
INC12660,Application logs filling up disk space,Application logs are not being rotated. Log directory has grown to 200 GB. Need to configure logback rolling policy.,Critical,Application Team
INC14616,URGENT: Suspicious login attempts detected - high priority,Multiple failed login attempts from IP 185.220.101.xx detected on the admin portal. 500 attempts in last 1 hour. Appears to be brute force attack.,Low,Security Team
INC14629,Request: Compliance audit finding needs remediation - affecting multiple users,SOC2 audit finding: privileged access reviews not completed for Q3. Need to run access certification for all admin accounts.,High,Security Team
INC12452,Request: Error 500 on checkout page - affecting multiple users,Checkout page returning HTTP 500 when users apply discount codes. Started after the v2.3.1 hotfix deployment yesterday.,High,Application Team
INC12847,Help needed - File upload not working for large files - high priority,Users cannot upload files larger than 10 MB. Getting request entity too large error. Need to increase the upload limit to 50 MB.,High,Application Team
INC11145,Issue: MongoDB collection queries extremely slow,Need a read-only database user created for the new reporting dashboard. Should have SELECT access to sales and inventory schemas.,High,Database Team
INC13079,Help needed - SSL certificate expiring in 3 days,Wildcard SSL certificate for *.company.com expires on Friday. Need to renew and deploy to all 12 web servers and load balancers.,Critical,Infrastructure Team
INC11104,Database CPU usage at 98 percent,Audit log table has grown to 500 GB. Need to archive records older than 90 days and implement partition pruning.,Low,Database Team
