age,income,loan_amount,credit_score,employment_years,num_existing_loans,loan_purpose,property_area,approved
59,77767,133041,482,5,1,education,rural,0
49,48054,58019,564,15,0,car,urban,0
35,95319,212226,387,1,4,car,urban,0
63,122789,238169,761,0,2,business,semi_urban,1
28,65397,12373,345,29,6,education,urban,0
41,33233,171353,691,22,1,car,urban,1
59,131205,25187,418,0,2,home,semi_urban,0
39,110020,335007,830,18,5,home,urban,0
43,45068,102927,746,2,7,business,urban,0
31,85727,243185,345,1,5,car,semi_urban,0
31,110610,351229,807,16,1,car,semi_urban,0
44,90453,122996,825,27,1,car,rural,1
56,124135,44220,302,17,3,personal,semi_urban,1
60,45832,397647,327,32,2,education,semi_urban,0
44,128464,12642,680,14,5,education,urban,0
23,106242,84971,456,21,6,car,urban,1
42,33682,60556,810,26,5,home,urban,0
22,112298,431976,632,31,2,business,rural,1
44,43383,305336,413,18,5,business,semi_urban,0
64,78160,402597,688,27,6,business,rural,0
50,113332,232655,786,27,0,business,semi_urban,1
58,43666,417774,549,9,7,personal,urban,0
22,78817,297926,614,19,5,education,semi_urban,0
41,111198,271926,538,24,7,personal,semi_urban,1
53,130695,227489,533,20,5,education,semi_urban,1
32,54642,190784,602,13,4,home,semi_urban,0
42,61830,241836,633,21,0,car,rural,1
64,123067,493161,412,25,3,business,rural,0
45,30234,155534,661,10,1,car,rural,1
47,77616,327174,396,6,6,personal,urban,0
62,29221,204591,315,16,5,home,urban,0
48,31410,323555,675,17,6,car,urban,1
36,100055,191278,689,6,3,car,urban,1
35,81413,102469,516,19,3,home,semi_urban,0
64,21051,51950,698,10,0,home,semi_urban,1
23,130529,400739,559,15,6,home,semi_urban,1
57,95301,459142,619,26,1,personal,rural,1
27,96918,145749,495,10,4,home,rural,0
41,98116,211900,777,15,3,home,urban,0
29,142226,151161,717,22,4,home,rural,0
59,76563,402797,774,11,1,education,semi_urban,1
38,117859,410123,843,2,1,education,semi_urban,0
24,64757,403825,530,1,7,education,rural,0
45,146169,187225,820,23,0,car,urban,1
34,141008,317683,499,28,6,home,rural,0
29,97475,442359,320,33,2,personal,semi_urban,0
46,71257,27936,610,19,6,personal,rural,1
22,115500,317326,733,17,5,home,rural,1
40,20307,378403,670,13,0,car,semi_urban,0
48,76889,235596,377,17,6,home,urban,0
27,88895,100042,841,1,4,home,urban,1
64,115184,280307,584,0,7,personal,urban,1
28,55944,262758,439,19,6,car,urban,0
55,119555,457974,581,33,0,home,rural,0
34,58134,182129,557,10,1,car,urban,1
